probe  category        max_mem max_turn  support        via   gate
p01    fact_evolution    0.618    0.564    0.625       work   PASS
p02    fact_evolution    0.635    0.560    0.000          -   PASS
p03    multi_hop         0.773    0.718    0.000          -   PASS
p04    keyword           0.776    0.568    0.000          -   PASS
p05    implicit          0.643    0.638    0.000          -   PASS
p06    fact_evolution    0.667    0.585    0.000          -   PASS
p07    correction        0.714    0.623    0.000          -   PASS
p08    preference        0.783    0.588    0.000          -   PASS
p09    implicit          0.669    0.521    0.000          -   PASS
p10    recall            0.680    0.520    0.000          -   PASS
p11    opinion_arc       0.787    0.843    0.000          -   PASS
p12    preference        0.681    0.571    0.000          -   PASS
p13    fact_evolution    0.627    0.624    0.000          -   PASS
p14    preference        0.631    0.640    0.000          -   PASS
p15    recall            0.711    0.539    0.000          -   PASS
p16    recall            0.553    0.720    0.000          -   PASS
p17    recall            0.615    0.683    0.000          -   PASS
p18    noise             0.432    0.360    0.000          -  gated
p19    noise             0.494    0.477    0.000          -  gated
p20    noise             0.581    0.561    0.520    wedding  gated
p21    cold_session      0.000    0.000    0.000          -  gated
p22    keyword           0.821    0.630    0.000          -   PASS
p23    multi_hop         0.621    0.641    0.000          -   PASS
p24    recall            0.643    0.703    0.000          -   PASS
p25    noise             0.569    0.574    0.465    wedding  gated
p26    noise             0.548    0.573    0.497    wedding  gated
p27    noise             0.499    0.424    0.000          -  gated
p28    noise             0.586    0.371    0.465      movie  gated
p29    noise             0.446    0.473    0.000          -  gated
p30    paraphrase        0.584    0.525    0.674    cooking   PASS
p31    paraphrase        0.575    0.505    0.645        pay   PASS
p32    paraphrase        0.555    0.446    0.610    company   PASS
p33    retraction        0.756    0.607    0.000          -   PASS
p34    retraction        0.717    0.683    0.000          -   PASS
p35    opinion_arc       0.758    0.803    0.000          -   PASS
p36    noise             0.484    0.421    0.000          -  gated
p37    paraphrase        0.598    0.467    0.622       work   PASS

noise/cold probes, best sims (gate must REJECT): [0.0, 0.432, 0.473, 0.484, 0.494, 0.499, 0.573, 0.574, 0.581, 0.586]
signal probes, lowest 5 (gate must PASS):         [0.555, 0.575, 0.584, 0.598, 0.618]

Rule-B term support — noise (must stay < TERM_FLOOR=0.52): [0.465, 0.465, 0.497, 0.52]
Rule-B term support — signal (must reach TERM_FLOOR where Rule B decides): [0.61, 0.622, 0.625, 0.645, 0.674]
